Book-Title,Book-Author,Book-Length
80. The Body,By: Bill Bryson,Length: 14 hrs and 4 mins
81. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
"82. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
83. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
84. The Bee Sting,By: Paul Murray,Length: 26 hrs and 10 mins
85. The Dutch House,By: Ann Patchett,Length: 9 hrs and 53 mins
86. Leave the World Behind,By: Rumaan Alam,Length: 7 hrs and 26 mins
87. Mastery,By: Robert Greene,Length: 16 hrs and 9 mins
88. Bad Luck and Trouble,By: Lee Child,Length: 13 hrs and 17 mins
89. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
90. The Book of Joy,"By: His Holiness the Dalai Lama, Desmond Tutu, Douglas Carlton Abrams",Length: 10 hrs and 12 mins
91. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
92. Hábitos atómicos (Latino neutro),By: James Clear,Length: 9 hrs and 1 min
93. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
94. House of Flame and Shadow,By: Sarah J. Maas,Length: Not Yet Known
95. Light Bringer,By: Pierce Brown,Length: 30 hrs and 8 mins
96. Killing Floor,By: Lee Child,Length: 17 hrs and 47 mins
"97. The Kingdom, the Power, and the Glory",By: Tim Alberta,Length: 18 hrs and 16 mins
98. Night Road,By: Kristin Hannah,Length: 14 hrs and 47 mins
99. The Complete Fiction of H.P. Lovecraft,By: H. P. Lovecraft,Length: 51 hrs and 40 mins
100. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
